iteration,elapsed_seconds,objective_value
0,0.0,3697
5,0.0030973749235272408,3731
16,0.007431874983012676,3828
17,0.007791707990691066,3876
38,0.016425790963694453,3899
42,0.01770995801780373,3906
47,0.021039415965788066,3912
54,0.023331915959715843,3922
56,0.024111790931783617,3949
66,0.028250625007785857,3969
89,0.03808291594032198,4013
92,0.0392197499750182,4076
94,0.04048362502362579,4085
96,0.0418350410182029,4097
116,0.05001533299218863,4137
124,0.053572457982227206,4158
142,0.062267082976177335,4183
257,0.1147295410046354,4197
283,0.12614854099228978,4200
542,0.24482725001871586,4204
547,0.24619224993512034,4289
733,0.322269166004844,4298
740,0.32465366600081325,4318
762,0.33530441601760685,4331
771,0.3388781249523163,4349
886,0.38794116594363004,4350
888,0.38851904100738466,4351
2896,1.2602598329540342,4360
5268,2.24005008302629,4364
5905,2.5026584159350023,4367
6372,2.692804415943101,4369
8020,3.3595897080376744,4405
84967,35.30842100002337,4415
86177,35.814021624973975,4417
86191,35.819790708017536,4420
92473,38.59072341595311,4429
151006,62.338114249985665,4434
244641,101.61098579096142,4440
250760,104.26228904095478,4444